range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,abstract,review_o,review_x,training_label,reviewer_notes
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-26,Cytotoxic CD4+ T cells induce age-associated myelopoiesis through CCL5–CCR5 signaling,"Enrique Gabandé-Rodríguez, Gonzalo Soto-Heredero, ..., María Mittelbrunn",26.0,Must read,3,Inflammation / immune regulation; Aging / senescence,inflammation_immunity; aging_senescence,inflammation_immunity: T cell | aging_senescence: aging,10.1038/s43587-026-01209-9,https://doi.org/10.1038/s43587-026-01209-9,"Abstract Age-associated hematopoietic skewing results in an increase in the neutrophil-to-lymphocyte ratio, which serves as a strong predictor of all-cause mortality in older adults, although its causes are incompletely understood. Here we show that cytotoxic CD4 + T lymphocytes accumulate in the bone marrow of mice during aging and induce myelopoiesis, increasing the neutrophil-to-lymphocyte ratio. T cell receptor-dependent induction of mitochondrial stress and activation of STING upregulates the chemokine CCL5 in CD4 + T lymphocytes. During aging, hematopoietic stem cells and downstream myeloid progenitors upregulate CCR5, the primary receptor for CCL5. Genetic ablation of Ccr5 in hematopoietic progenitors mitigates T cell-induced myeloid skewing and neutrophil expansion. Pharmacological blockade of CCR5 using the Food and Drug Administration-approved drug maraviroc normalizes myelopoiesis, reduces circulating and tissue-infiltrating neutrophils, and improves multiple aging-related biomarkers and functional outcomes in aged mice. Together, these findings demonstrate a T cell–bone marrow axis that exacerbates age-associated decline and highlight CCR5 inhibition as a potential geroprotective strategy.",,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-26,Loss of cGAS disrupts H3K9me3 organization and derepresses LINE1 to cause inflammaging,,10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: inflammaging,10.1038/s43587-026-01217-9,https://doi.org/10.1038/s43587-026-01217-9,,,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-26,Contractile myografts confer systemic anti-aging benefits,"Xupeng Liu, Ziyue Yao, ..., Ng Shyh-Chang",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01190-3,https://doi.org/10.1038/s43587-026-01190-3,,,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-25,cGAS-deficient mice display premature aging associated with derepression of LINE1 elements and inflammation,"John C. Martinez, Francesco Morandini, ..., Vera Gorbunova",18.0,Must read,3,Inflammation / immune regulation; Aging / senescence,inflammation_immunity; aging_senescence,inflammation_immunity: inflammation | aging_senescence: aging,10.1038/s43587-026-01206-y,https://doi.org/10.1038/s43587-026-01206-y,,,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-25,Sex-specific aging clocks from a large-scale human phenome reveal distinct aging transitions and circulating signatures,"Jiaming Li, Dan-Dan Gao, ..., Weiqi Zhang",16.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: aging,10.1038/s43587-026-01180-5,https://doi.org/10.1038/s43587-026-01180-5,,,,,
2026-08-17,2026-08-31,Nature Aging,,,Aug 2026,2026-08-25,A geroprotective probiotic and its functional metabolite counteract inflammaging to extend healthspan,"Xiaoyong Lu, Jun Ping, ..., Weiqi Zhang",10.0,Worth scanning,2,Aging / senescence,aging_senescence,aging_senescence: inflammaging,10.1038/s43587-026-01181-4,https://doi.org/10.1038/s43587-026-01181-4,,,,,
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,Nonviral delivery of chemically modified tRNA rescues nonsense mutations in cystic fibrosis,"Jingan Chen, Muye Zhou, ..., Bowen Li",18.0,Must read,3,Liver metabolism / MASLD,liver_axis,liver_axis: fibrosis,10.1126/science.aeb0054,https://doi.org/10.1126/science.aeb0054,"Suppressor transfer RNAs (sup-tRNAs) can rescue disease-causing nonsense mutations by promoting readthrough of premature termination codons (PTCs). Their clinical translation is limited by suboptimal activity and inefficient in vivo delivery. In this work, we combined site-specific chemical modification of sup-tRNAs with cargo-tailored pulmonary lipid nanoparticle (LNP) engineering to overcome these barriers. Incorporation of N 1 -methyladenosine in sup-tRNAs improved PTC readthrough, enhanced tRNA aminoacylation, prolonged functional persistence, and reduced innate immune activation. High-throughput ionizable lipid screening and formulation optimization identified a sup-tRNA–tailored LNP that efficiently delivered chemically modified sup-tRNAs to the lung. This approach restored cystic fibrosis transmembrane conductance regulator (CFTR) expression and function in bronchial epithelial cells, mouse models, and patient-derived organoids. Thus, LNP-delivered, chemically engineered sup-tRNAs represent a potential therapeutic platform for treating nonsense mutations.",,,,
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,A necroptotic-to-apoptotic signaling axis underlies inflammatory bowel disease,"Jiyi Pang, Aysha H. Al-Ani, ..., James M. Murphy",8.0,Archive only,1,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: inflammation, macrophage",10.1126/science.aeh7112,https://doi.org/10.1126/science.aeh7112,"Inflammatory bowel disease (IBD) is a chronic condition caused by altered cytokine signaling, maladaptive immunity, dysbiosis, and intestinal barrier dysfunction. Although current therapies aim to correct these imbalances to induce remission, most patients ultimately relapse, suggesting that key pathogenic mechanisms persist. Here, we identified aberrant epithelial cell death signaling as an underlying feature of IBD that arises in patients in remission and on advanced therapy. Mechanistically, nascent inflammation skewed epithelial cells into an M1-macrophage–like transcriptional state that promoted RIPK1-independent necroptotic signaling. This signaling then triggered inducible nitric oxide synthase–assisted mitochondrial apoptosis of absorptive epithelial cells and PUMA-mediated intestinal stem cell death. Thus, aberrant epithelial cell death signaling represents a hallmark of IBD that occurs early in mucosal lesion development, persists despite current therapeutic strategies, and predicts clinical relapse.",,,,
2026-08-17,2026-08-31,Science,393,6814,"Volume 393, Issue 6814, Aug 2026",2026-08-27,Beyond wrinkles,"Sasan Jalili, Julia Oh",6.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: aging,10.1126/science.aeh4348,https://doi.org/10.1126/science.aeh4348,Can the skin microbiome shape healthy aging?,,,,
2026-08-17,2026-08-31,Journal of Clinical Investigation,,,Aug 2026,2026-08-25,Single-nuclei transcriptomics reveals cellular senescence in pediatric anthracycline-induced cardiomyopathy,"Diwakar Turaga, Chang-Ru Tsai, ..., James F. Martin",14.0,Worth scanning,2,Aging / senescence,aging_senescence,"aging_senescence: cellular senescence, senescence",10.1172/jci204909,https://doi.org/10.1172/jci204909,,,,,
2026-08-17,2026-08-31,Journal of Clinical Investigation,,,Aug 2026,2026-08-25,FBXW5 blunts RIGI/MDA5-IFN signaling to drive immunoevasion and chemo-immune resistance in triple-negative breast cancer models,"Xin Li, Tong Chen, ..., Qifeng Yang",12.0,Worth scanning,2,Inflammation / immune regulation; Cell targeting / therapy,inflammation_immunity; therapy_translation,inflammation_immunity: T cell | therapy_translation: therapeutic target,10.1172/jci201573,https://doi.org/10.1172/jci201573,"Triple-negative breast cancer (TNBC), characterized by aggressive behavior and poor prognosis, presents a formidable clinical challenge. Despite guideline endorsement of chemoimmunotherapy as a standard treatment in TNBC, durable responses remain rare, largely due to an immunologically “cold” tumor microenvironment (TME). Through integrated analysis, we identified the F-box protein FBXW5 as a tumor-intrinsic immunosuppressive regulator, whose expression is elevated in immunologically “cold” TNBC and correlates with dismal patient survival. Genetic knockdown of murine Fbxw5 suppressed tumor growth, reinvigorated CD8+ T cell-mediated antitumor immunity, and sensitized TNBC tumors to both single-agent and combined chemo-immune therapy in preclinical models. Mechanistically, FBXW5 acts within the SKP1/CUL1/F-box protein (SCF) E3 ligase complex to bind RIGI and MDA5, promoting their K27-linked polyubiquitination and subsequent SQSTM1-mediated autophagic degradation. This process blunts cytosolic RNA sensing and type I interferon (IFN-I) signaling, thereby limiting CD8+ T cell infiltration and activation. Our findings establish FBXW5 as a master regulator of the “cold” TME, presenting a potential predictive biomarker and actionable therapeutic target for enhancing chemoimmunotherapy in TNBC.",,,,
2026-08-17,2026-08-31,Journal of Clinical Investigation,,,Aug 2026,2026-08-25,B-cell depletion improves therapeutic index of combination checkpoint blockade in patients with advanced melanoma,"Kavita M. Dhodapkar, Antonio Matera, ..., Madhav V. Dhodapkar",10.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,"inflammation_immunity: T cell, inflammation",10.1172/jci205606,https://doi.org/10.1172/jci205606,"Background: Combined checkpoint blockade (CCB) of programmed-death-1 (PD-1) and cytotoxic-T-lymphocyte-associated protein-4 (CTLA-4) is highly active in melanoma but limited by significant morbidity from immune-related adverse events (irAEs). Effective strategies to prevent CCB-mediated irAEs are lacking. Methods: Patients with advanced melanoma were randomly assigned to receive standard of care ipilimumab and nivolumab alone (Arm-A: ipi/nivo, n=7) or with one cycle of rituximab (Arm-B; ipi/nivo+rituximab, n=7). Results: Patients receiving ipi/nivo+rituximab experienced lower rates of > grade-3(G3) irAEs (14% versus 57%) and superior G3-irAE-free survival compared to those in ipi/nivo arm (2-year G3-irAE-free survival 86% versus 29% (p=0.01), without adverse impact on tumor regression or survival. G3 hypersensitivity reactions to rituximab (43% in Arm-B) prompted trial closure. Rituximab depleted pre-therapy activated naïve B cells linked to autoimmunity and enhanced CCB-mediated induction of myeloid inflammation and CXCL13+ICOS+ CD4 T cells. Conclusion: B-cell depletion favorably modulates CCB-mediated immune activation and may reduce irAE risk. Trial Registration: ClinicalTrials.gov NCT03719131 Funding: NIH",,,,
2026-08-17,2026-08-31,Hepatology,,,Aug 2026,2026-08-28,Beyond cirrhosis: Major adverse liver outcomes across homozygous and heterozygous Alpha-1 antitrypsin deficiency associated liver disease,"Dustin Bastaich, Bassam Dahman, ..., Binu V. John",33.0,Must read,3,Liver metabolism / MASLD,core_disease_context; liver_axis,core_disease_context: MASLD | liver_axis: liver,10.1097/hep.0000000000001854,https://doi.org/10.1097/hep.0000000000001854,"Background: Alpha-1 antitrypsin deficiency (AATD) may cause chronic lung and liver disease, yet data on major adverse liver outcomes (MALO) across heterozygous and homozygous Z-allele genotypes remains limited. We assessed the risk of MALO across AATD Pi*MZ, Pi*SZ, and Pi*ZZ genotypes compared to the wildtype Pi*MM. Methods: This retrospective cohort study utilized the Veterans Analysis of Liver Disease cohort (January 2000-April 2025). Genotypes were identified using validated natural language processing (κ=0.89). Multivariable Fine-Gray models estimated the hazard of MALO. Results: Among 22,537 participants with genotype testing (19,665 Pi*MM, 1,656 Pi*MZ, 281 Pi*SZ, and 935 Pi*ZZ) and 352,612 person-years of follow up, MALO risk increased sequentially with allele burden: Pi*MZ (aHR 1.25, 1.11-1.40), Pi*SZ (aHR 1.51, 1.17-1.94), and Pi*ZZ (aHR 1.80, 1.57-2.07), versus Pi*MM. MALO incidence rates for Pi*MM, Pi*MZ, Pi*SZ, and Pi*ZZ, were 11.3, 13.0, 14.6, and 19.2 for 1,000 person-years respectively, while five-year MALO probability was 3.5%, 5.5%, 5.3%, and 8.1% respectively. Pi*ZZ was associated with significantly increased risk of all individual MALO components: decompensation, HCC, liver transplantation (LT), and liver-related death (LRD). Pi*SZ and Pi*MZ were associated with higher risk of decompensation, LT, and LRD, but not HCC. A sensitivity analysis restricted to participants with MASLD showed consistent findings. Conclusion: In this national longitudinal cohort of veterans with documented AATD genotype testing and median follow-up of 15.9 years, we observed an increased risk of MALO in both homozygous and heterozygous Z-allele carriers, underscoring the need for timely diagnosis and enhanced clinical surveillance among veterans with known AATD genotypes.",,,,
