range_start,range_end,journal,volume,issue,issue_heading,published_date,title,authors,score,priority,lab_relevance,themes,matched_groups,matched_terms,doi,url,review_o,review_x,training_label,reviewer_notes,abstract
2026-08-09,2026-08-23,Nature Metabolism,,,Aug 2026,2026-08-21,A proteomic atlas of obesity and weight loss,"Natasha D. Suriani, Matthew J. Watt",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01601-0,https://doi.org/10.1038/s42255-026-01601-0,,,,,
2026-08-09,2026-08-23,Nature Metabolism,,,Aug 2026,2026-08-21,Multi-organ proteomic atlas of obesity regression in male mice,"Felix Boel, Ellen Gammelmark Klinggaard, ..., Blagoy Blagoev",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01599-5,https://doi.org/10.1038/s42255-026-01599-5,,,,,
2026-08-09,2026-08-23,Nature Metabolism,8,8,"Volume 8, Issue 8, Aug 2026",2026-08-19,Intestinal cGAS–STING–IFN signalling promotes obesity by downregulating microbiota-derived IAA in male mice,"Jiangming Deng, Wen Meng, ..., Yang Xiao",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01562-4,https://doi.org/10.1038/s42255-026-01562-4,,,,,
2026-07-30,2026-08-13,Nature Metabolism,,,Aug 2026,2026-08-11,Author Correction: The perineurium integrates leptin with its sympathetic outflow to protect against obesity,"Gitalee Sarker, Emma Haberman, ..., Ana I. Domingos",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01605-w,https://doi.org/10.1038/s42255-026-01605-w,,,,,
2026-07-30,2026-08-13,Nature Metabolism,,,Aug 2026,2026-08-05,Palmitoylation modulates neutrophil anti-tumour function in liver metastasis,"Liang Zhou, Jun Cui",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01581-1,https://doi.org/10.1038/s42255-026-01581-1,,,,,
2026-07-30,2026-08-13,Nature Metabolism,,,Aug 2026,2026-08-05,Palmitate promotes liver metastases by decreasing neutrophil antitumour behaviour,"Anke Vandekeere, Juan Fernández-García, ..., Sarah-Maria Fendt",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01582-0,https://doi.org/10.1038/s42255-026-01582-0,,,,,
2026-07-30,2026-08-13,Nature Metabolism,,,Jul 2026,2026-07-31,Author Correction: p21-activated kinase 4 counteracts PKA-dependent lipolysis by phosphorylating FABP4 and HSL,"Hwang Chan Yu, Yong Geun Jeon, ..., Byung-Hyun Park",11.0,Worth scanning,2,Liver metabolism / MASLD,lipid_metabolism,lipid_metabolism: lipolysis,10.1038/s42255-026-01597-7,https://doi.org/10.1038/s42255-026-01597-7,,,,,
all-time,current,Nature Metabolism,8,7,"Volume 8, Issue 7, Jul 2026",2026-07-16,Endocrine-like regulation through brown fat-secreted microRNAs,,13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: brown fat,10.1038/s42255-026-01570-4,https://doi.org/10.1038/s42255-026-01570-4,,,,,
all-time,current,Nature Metabolism,8,7,"Volume 8, Issue 7, Jul 2026",2026-07-16,Brown fat-specific RNA labelling reveals a network of inter-organ communication by secreted microRNAs,"Marsel Lino, Gabriel Palermo-Ruiz, ..., C. Ronald Kahn",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: brown fat,10.1038/s42255-026-01558-0,https://doi.org/10.1038/s42255-026-01558-0,,,,,
all-time,current,Nature Metabolism,8,8,"Volume 8, Issue 8, Jul 2026",2026-07-14,Macrophage-derived itaconate is a negative regulator of adipose tissue thermogenesis,"Jiayin Tang, Gerard Pernes, ..., Evanna L. Mills",18.0,Must read,3,Adipose tissue / adipocyte biology; Inflammation / immune regulation,adipose_axis; inflammation_immunity,adipose_axis: adipose tissue | inflammation_immunity: macrophage,10.1038/s42255-026-01572-2,https://doi.org/10.1038/s42255-026-01572-2,,,,,
2026-06-30,2026-07-14,Nature Metabolism,,,Jul 2026,2026-07-13,The perineurium integrates leptin with its sympathetic outflow to protect against obesity,"Gitalee Sarker, Emma Haberman, ..., Ana Domingos",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01555-3,https://doi.org/10.1038/s42255-026-01555-3,,,,,
2026-06-30,2026-07-14,Nature Metabolism,,,Jul 2026,2026-07-09,Association of GLP-1RA discontinuation and risk of depressive and anxiety disorders in people with type 2 diabetes: a cohort study,"Tingyu Zhang, Ping He, ..., Guang Ning",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01567-z,https://doi.org/10.1038/s42255-026-01567-z,,,,,
all-time,current,Nature Metabolism,,,Jul 2026,2026-07-02,Imaging mass cytometry reveals functional and immunological changes during type 1 diabetes progression in human pancreata,"Nathan Steenbuck, Nicolas Damond, ..., Bernd Bodenmiller",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01559-z,https://doi.org/10.1038/s42255-026-01559-z,,,,,
all-time,current,Nature Metabolism,,,Jul 2026,2026-07-02,A spatial atlas of pancreatic remodelling in type 1 diabetes,"Carson Mickey, Yue J. Wang",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01547-3,https://doi.org/10.1038/s42255-026-01547-3,,,,,
all-time,current,Nature Metabolism,,,Jun 2026,2026-06-26,Author Correction: The SESAME complex regulates cell senescence through the generation of acetyl-CoA,"Wanping Chen, Xilan Yu, ..., Shanshan Li",9.0,Archive only,1,Aging / senescence,aging_senescence,aging_senescence: senescence,10.1038/s42255-026-01574-0,https://doi.org/10.1038/s42255-026-01574-0,,,,,
all-time,current,Nature Metabolism,,,Jun 2026,2026-06-24,Effects of exercise and liraglutide on vascular health and inflammation during weight loss maintenance: a prespecified secondary analysis of the S-LiTE trial,"Rasmus Michael Sandsdal, Joachim Holt, ..., Signe Sørensen Torekov",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: inflammation,10.1038/s42255-026-01554-4,https://doi.org/10.1038/s42255-026-01554-4,,,,,
all-time,current,Nature Metabolism,8,6,"Volume 8, Issue 6, Jun 2026",2026-06-15,Adiposity and cancer: systematic review and meta-analysis,"Eleanor L. Watts, Amparo Gonzalez-Feliciano, ..., Steven C. Moore",23.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,core_disease_context; adipose_axis,core_disease_context: obesity | adipose_axis: adiposity,10.1038/s42255-026-01542-8,https://doi.org/10.1038/s42255-026-01542-8,,,,,"Abstract Obesity is a major health challenge. Here we show that body mass index is positively associated with risk of 19 cancers and inversely associated with 3, based on a systematic review and meta-analysis of prospective studies of 25 cancer types. We searched PubMed, EMBASE and Scopus through to 23 April 2025, identifying 226 articles comprising 1.5 million incident cancers. We identified positive associations for leukaemia, non-Hodgkin lymphoma, bladder cancer and glioma, not previously identified by major consensus reports. Associations differed according to region and sex, with stronger associations for postmenopausal breast and ovarian cancers in East Asia, weaker associations for gallbladder cancer in East Asia and in men, and stronger associations for colorectal cancer in men. Body mass index and waist circumference showed similar associations with cancer. We reviewed Mendelian randomization and imaging-based studies; genetic findings were generally consistent with observational associations, while imaging data were limited. Our findings underscore the impact of obesity on cancer risk."
all-time,current,Nature Metabolism,8,6,"Volume 8, Issue 6, Jun 2026",2026-06-15,"Adiposity and cancer: epidemiology, mechanisms and future perspectives","Eleanor L. Watts, Amparo Gonzalez-Feliciano, ..., Steven C. Moore",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: adiposity,10.1038/s42255-026-01529-5,https://doi.org/10.1038/s42255-026-01529-5,,,,,
all-time,current,Nature Metabolism,8,6,"Volume 8, Issue 6, Jun 2026",2026-06-08,A cross-species atlas of the dorsal vagal complex reveals neural mediators of the effects of cagrilintide on energy balance,"Mette Q. Ludwig, Bernd Coester, ..., Tune H. Pers",3.0,Not relevant,0,,,,10.1038/s42255-026-01539-3,https://doi.org/10.1038/s42255-026-01539-3,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, May 2026",2026-05-21,The exercise hormone irisin has neuroprotective effects in a mouse model of multiple sclerosis,"Sina C. Rosenkranz, Joana F. da Rocha, ..., Christiane D. Wrann",3.0,Not relevant,0,,,,10.1038/s42255-026-01527-7,https://doi.org/10.1038/s42255-026-01527-7,,,,,
all-time,current,Nature Metabolism,8,6,"Volume 8, Issue 6, May 2026",2026-05-18,Cardiolipin preserves Treg metabolic fitness and immune homeostasis in the gut,"Annamaria Regina, Francesca Solagna, ..., Mauro Corrado",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: Treg,10.1038/s42255-026-01533-9,https://doi.org/10.1038/s42255-026-01533-9,,,,,
all-time,current,Nature Metabolism,8,6,"Volume 8, Issue 6, May 2026",2026-05-08,Metformin inhibits mitochondrial complex I in intestinal epithelium to promote glycaemic control,"Zachary L. Sebo, Ram P. Chakrabarty, ..., Navdeep S. Chandel",3.0,Not relevant,0,,,,10.1038/s42255-026-01530-y,https://doi.org/10.1038/s42255-026-01530-y,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, May 2026",2026-05-07,Gut microbiota responses to bariatric surgery are associated with metabolic outcomes and type 2 diabetes remission,"Lisa M. Olsson, Heidi Borgeraas, ..., Fredrik Bäckhed",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01525-9,https://doi.org/10.1038/s42255-026-01525-9,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, Apr 2026",2026-04-28,FXR–YAP signalling maintains biliary epithelial cell identity and preserves liver homeostasis,"Paula Sánchez-Sánchez, Zhaoshuo Wang, ..., Nabil Djouder",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01521-z,https://doi.org/10.1038/s42255-026-01521-z,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, Apr 2026",2026-04-27,Tissue-specific fibroblast lipid cues impose the rate of epithelial cancer invasion,"Timothy Budden, Noah Palombo, ..., Amaya Virós",3.0,Not relevant,0,,,,10.1038/s42255-026-01514-y,https://doi.org/10.1038/s42255-026-01514-y,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Apr 2026",2026-04-24,Cell-specific DNA methylation in human alpha and beta cells regulates gene expression in type 2 diabetes,"Jones K. Ofori, Sabrina Ruhrmann, ..., Charlotte Ling",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01498-9,https://doi.org/10.1038/s42255-026-01498-9,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Apr 2026",2026-04-24,Islet cell DNA methylation in human ageing and diabetes,"Emily Hodges, Guoqiang Gu",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-026-01502-2,https://doi.org/10.1038/s42255-026-01502-2,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, Apr 2026",2026-04-21,A conserved hormonal signalling–H2A.Z axis rapidly reorganizes 3D chromatin interactions in adipocyte thermogenesis,"Yang Zhang, Rongbin Zheng, ..., Yu-Hua Tseng",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: adipocyte,10.1038/s42255-026-01510-2,https://doi.org/10.1038/s42255-026-01510-2,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Apr 2026",2026-04-10,iNOS modulates inflammatory responses in an NO-independent manner through direct interaction with IRG1 in mitochondria,"Marina Diotallevi, Carlos Outeiral, ..., Mark J. Crabtree",3.0,Not relevant,0,,,,10.1038/s42255-026-01492-1,https://doi.org/10.1038/s42255-026-01492-1,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Apr 2026",2026-04-03,Irisin ameliorates obesity and insulin resistance via adipose tissue IL-33 and regulatory T cells,"Mu A, Gang Wang, ..., Diane Mathis",49.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology; Inflammation / immune regulation,core_disease_context; adipose_axis; inflammation_immunity,"core_disease_context: insulin resistance, obesity | adipose_axis: adipose tissue | inflammation_immunity: T cell, regulatory T cell",10.1038/s42255-026-01491-2,https://doi.org/10.1038/s42255-026-01491-2,,,,,
all-time,current,Nature Metabolism,8,5,"Volume 8, Issue 5, Apr 2026",2026-04-02,Revitalizing p-GSK-3β via cysteine sulfenylation promotes hepatic insulin resistance by differentially regulating glycogenesis and gluconeogenesis,"Jie Chen, Zhuohang Liu, ..., Bo Huang",23.0,Must read,3,Liver metabolism / MASLD,core_disease_context; liver_axis,core_disease_context: insulin resistance | liver_axis: hepatic,10.1038/s42255-026-01507-x,https://doi.org/10.1038/s42255-026-01507-x,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Mar 2026",2026-03-24,"The genetics of obesity: aetiology, prevention and therapy","Amélie Bonnefond, Winter S. Bruner, ..., Philippe Froguel",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01497-w,https://doi.org/10.1038/s42255-026-01497-w,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Mar 2026",2026-03-23,PLIN5 phosphorylation orchestrates mitochondria lipid-droplet coupling to control hepatic lipid flux and steatosis,"Sun Woo Sophie Kang, Lauryn A. Brown, ..., Natalie Porat-Shliom",23.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: hepatic, steatosis",10.1038/s42255-026-01476-1,https://doi.org/10.1038/s42255-026-01476-1,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Mar 2026",2026-03-23,The expanding role of mitochondria–lipid droplet contacts in liver and their disruption by MASLD,"Jessica Segalés, Marc Liesa",23.0,Must read,3,Liver metabolism / MASLD,core_disease_context; liver_axis,core_disease_context: MASLD | liver_axis: liver,10.1038/s42255-026-01483-2,https://doi.org/10.1038/s42255-026-01483-2,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Mar 2026",2026-03-20,DGAT1 mediates sex-specific CD8+ T cell antitumour responses,"Alaa Madi, Hui Shi, ..., Guoliang Cui",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s42255-026-01462-7,https://doi.org/10.1038/s42255-026-01462-7,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Mar 2026",2026-03-12,Defining the vascular niche of human adipose tissue across metabolic states,"Ibrahim AlZaim, Mohamed N. Hassan, ..., Joanna Kalucka",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: adipose tissue,10.1038/s42255-026-01475-2,https://doi.org/10.1038/s42255-026-01475-2,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Mar 2026",2026-03-11,Transient steatosis reprograms MDMs for liver repair,"Ashwin Woodhoo, Marta Varela-Rey",23.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: liver, steatosis",10.1038/s42255-026-01479-y,https://doi.org/10.1038/s42255-026-01479-y,,,,,
all-time,current,Nature Metabolism,8,4,"Volume 8, Issue 4, Mar 2026",2026-03-04,Extracellular CD44 lactylation impairs CD8+ T cell function in KRAS-mutant colorectal cancer,"Yun Yang, Yong Wu, ..., Hua Wu",11.0,Worth scanning,2,Inflammation / immune regulation,inflammation_immunity,inflammation_immunity: T cell,10.1038/s42255-026-01482-3,https://doi.org/10.1038/s42255-026-01482-3,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-27,Obesity as a catalyst for neurodegeneration,"Bandy Chen, Amanda Rodríguez-Díaz, Marc Schneeberger, Eric Topol",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-026-01477-0,https://doi.org/10.1038/s42255-026-01477-0,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-25,White adipocyte thermogenesis is not an artefact but an in vivo phenomenon,,23.0,Must read,3,Adipose tissue / adipocyte biology,adipose_axis,"adipose_axis: adipocyte, white adipocyte",10.1038/s42255-026-01473-4,https://doi.org/10.1038/s42255-026-01473-4,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-23,Fatty acids promote uncoupled respiration via ATP/ADP carriers in white adipocytes,"Maryam Ahmadian, A. Melisa Aksu, ..., Shannon M. Reilly",23.0,Must read,3,Adipose tissue / adipocyte biology,adipose_axis,"adipose_axis: adipocytes, white adipocyte",10.1038/s42255-026-01467-2,https://doi.org/10.1038/s42255-026-01467-2,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-20,Single-cell spatial proteomics maps human liver zonation patterns and their vulnerability to disruption in tissue architecture,"Caroline A. M. Weiss, Lauryn A. Brown, ..., Matthias Mann",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01459-2,https://doi.org/10.1038/s42255-026-01459-2,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-20,Spatial protein gradients pattern liver metabolism,"Zhen Dong, Tiannan Guo",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01478-z,https://doi.org/10.1038/s42255-026-01478-z,,,,,
all-time,current,Nature Metabolism,8,3,"Volume 8, Issue 3, Feb 2026",2026-02-18,Adipocyte NADH dehydrogenase reverses circadian and diet-induced metabolic syndrome,"Chelsea Hepler, Nathan J. Waldeck, ..., Joseph Bass",43.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,core_disease_context; adipose_axis,"core_disease_context: metabolic disease, obesity | adipose_axis: adipocyte, adipocytes",10.1038/s42255-026-01464-5,https://doi.org/10.1038/s42255-026-01464-5,,,,,"Abstract Circadian clocks are internal timing systems that enable organisms to anticipate and adapt to daily environmental changes. These rhythms arise from a transcription–translation feedback loop in which CLOCK and BMAL1 regulate the expression of thousands of genes, including their repressors PER and CRY. Disruption of circadian rhythms contributes to obesity, metabolic disease and cancer, yet how the clock maintains metabolic homeostasis remains limited. Here we report that the clock regulates oxidative metabolism in adipocytes through diurnal complex I respiration. Disrupting the clock in male mice via adipocyte-specific genetic deletion or high-fat-diet feeding reduces complex I respiration in adipocytes, leading to suppression of the peroxisome proliferator-activated receptor and insulin signalling pathways. In contrast, restoring complex I function by expressing yeast NDI1 in adipocytes protects against diet-induced and circadian-induced metabolic dysfunction independently of weight gain. These findings reveal that adipocyte circadian disruption impairs metabolic health through mitochondrial complex I dysfunction, establishing clock control of complex I as a key regulator of metabolic homeostasis."
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Feb 2026",2026-02-05,Feeding-regulated glycogen metabolism drives rhythmic liver protein secretion,"Meltem Weger, Daniel Mauvoisin, ..., Frédéric Gachon",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01453-8,https://doi.org/10.1038/s42255-026-01453-8,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Feb 2026",2026-02-03,Mitochondrial superoxide regulates nuclear envelope integrity and ageing via redox-mediated lipid metabolism,"Peng X. Chen, Leyuan Zhang, ..., Ye Tian",11.0,Worth scanning,2,Liver metabolism / MASLD,lipid_metabolism,lipid_metabolism: lipid metabolism,10.1038/s42255-026-01452-9,https://doi.org/10.1038/s42255-026-01452-9,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-29,"Adversity, adiposity, nutrition and metabolic well-being in multi-ethnic Asia","Theresia H. Mina, Pritesh R. Jain, Nita G. Forouhi, John C. Chambers",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: adiposity,10.1038/s42255-025-01441-4,https://doi.org/10.1038/s42255-025-01441-4,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Jan 2026",2026-01-28,Identifying genes and proteins with causal effects on type 2 diabetes risk across tissues and populations,,13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-025-01447-y,https://doi.org/10.1038/s42255-025-01447-y,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Jan 2026",2026-01-27,Unravelling the molecular mechanisms causal to type 2 diabetes across global populations and disease-relevant tissues,"Ozvan Bocher, Ana Luiza Arruda, ..., Eleftheria Zeggini",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-025-01444-1,https://doi.org/10.1038/s42255-025-01444-1,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Jan 2026",2026-01-27,Author Correction: m6A modification-tuned sphingolipid metabolism regulates postnatal liver development in male mice,"Shiguan Wang, Shanze Chen, ..., Detian Yuan",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-026-01468-1,https://doi.org/10.1038/s42255-026-01468-1,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-21,IL-21 mediates crosstalk between T cells and NK cells during the remission of type 1 diabetes,"Kang Lei, Xinyu Li, ..., Xia Li",21.0,Must read,3,Liver metabolism / MASLD; Inflammation / immune regulation,core_disease_context; inflammation_immunity,core_disease_context: diabetes | inflammation_immunity: T cell,10.1038/s42255-025-01439-y,https://doi.org/10.1038/s42255-025-01439-y,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Jan 2026",2026-01-20,Heterogeneous sympathetic control of brown adipose tissue,"Xun Huang, Li Ye",23.0,Must read,3,Adipose tissue / adipocyte biology,adipose_axis,"adipose_axis: adipose tissue, brown adipose tissue",10.1038/s42255-025-01435-2,https://doi.org/10.1038/s42255-025-01435-2,,,,,
all-time,current,Nature Metabolism,8,2,"Volume 8, Issue 2, Jan 2026",2026-01-20,Distinct sympathetic projections to brown fat regulate thermogenesis and glucose tolerance,"Daniele Neri, Seoeun Lee, ..., Lori M. Zeltser",13.0,Worth scanning,2,Adipose tissue / adipocyte biology,adipose_axis,adipose_axis: brown fat,10.1038/s42255-025-01429-0,https://doi.org/10.1038/s42255-025-01429-0,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-19,Hepatic tryptophan metabolism links chronic stress to liver cancer,"Gerard Clarke, Lily Keane, John F. Cryan",23.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: hepatic, liver",10.1038/s42255-025-01446-z,https://doi.org/10.1038/s42255-025-01446-z,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-19,Chronic stress drives liver cancer by impairing the hepatic kynurenine pathway and immune surveillance,"Renhui Sun, Deyan Jiao, ..., Xiaohong Liang",23.0,Must read,3,Liver metabolism / MASLD,liver_axis,"liver_axis: hepatic, liver",10.1038/s42255-025-01430-7,https://doi.org/10.1038/s42255-025-01430-7,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-15,Multi-omics profiling of cachexia-targeted tissues reveals a spatio-temporally coordinated response to cancer,"Pauline Morigny, Michaela Vondrackova, ..., Maria Rohm",3.0,Not relevant,0,,,,10.1038/s42255-025-01434-3,https://doi.org/10.1038/s42255-025-01434-3,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-12,Single-cell-resolved transcriptional dynamics of human subcutaneous adipose tissue during lifestyle- and bariatric surgery-induced weight loss,"Anne Loft, Rasmus Rydbirk, ..., Susanne Mandrup",23.0,Must read,3,Adipose tissue / adipocyte biology,adipose_axis,"adipose_axis: adipose tissue, subcutaneous adipose",10.1038/s42255-025-01433-4,https://doi.org/10.1038/s42255-025-01433-4,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-08,A catecholamine-independent pathway controlling adaptive adipocyte lipolysis,"Xiao Zhang, Sreejith S. Panicker, ..., Erica L. Scheller",49.0,Must read,3,Liver metabolism / MASLD; Adipose tissue / adipocyte biology,adipose_axis; lipid_metabolism,"adipose_axis: adipocyte, adipocytes, adipose tissue | lipid_metabolism: lipolysis",10.1038/s42255-025-01424-5,https://doi.org/10.1038/s42255-025-01424-5,,,,,"Abstract Several adipose depots, including constitutive bone marrow adipose tissue, resist conventional lipolytic cues. However, under starvation, wasting or cachexia, the body eventually catabolizes stable adipocytes through unknown mechanisms. Here we developed a mouse model of brain-evoked depletion of all fat, including stable constitutive bone marrow adipose tissue, independent of food intake, to study this phenomenon. Genetic, surgical and chemical approaches demonstrated that catabolism of stable adipocytes required adipose triglyceride lipase-dependent lipolysis but was independent of local nerves, the sympathetic nervous system and catecholamines. Instead, concurrent hypoglycaemia and hypoinsulinaemia activated a potent catabolic state by suppressing lipid storage and increasing catecholamine-independent lipolysis via downregulation of cell-autonomous lipolytic inhibitors including G0s2. This was also sufficient to delipidate classical adipose depots and was recapitulated in tumour-associated cachexic mice. Overall, this defines unique adaptations of stable adipocytes to resist lipolysis in healthy states while isolating a potent catecholamine-independent neurosystemic pathway by which the body can rapidly catabolize all adipose tissues."
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-08,Obesity impairs gut repair via AFABP-mediated iron overload in intestinal stem cells,"Zhiming Liu, Yi Chen, ..., Haiyang Chen",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: obesity,10.1038/s42255-025-01425-4,https://doi.org/10.1038/s42255-025-01425-4,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-08,Chewing the fat: a novel mechanism for lipolysis,"Alison H. Affinati, Michael W. Schwartz",11.0,Worth scanning,2,Liver metabolism / MASLD,lipid_metabolism,lipid_metabolism: lipolysis,10.1038/s42255-025-01426-3,https://doi.org/10.1038/s42255-025-01426-3,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-05,A sex-specific brake on liver oestrogen signalling,"Pamela Kakimoto, Natalie Krahmer",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: liver,10.1038/s42255-025-01427-2,https://doi.org/10.1038/s42255-025-01427-2,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-05,Hepatic GPR110 contributes to sex disparity in the development of MASH through oestrogen receptor α-dependent signalling,"Fang Yang, Wei Wang, ..., Zhe Huang",13.0,Worth scanning,2,Liver metabolism / MASLD,liver_axis,liver_axis: hepatic,10.1038/s42255-025-01436-1,https://doi.org/10.1038/s42255-025-01436-1,,,,,
all-time,current,Nature Metabolism,8,1,"Volume 8, Issue 1, Jan 2026",2026-01-02,Single-cell perturbations decipher ribosomal stress-surveillance regulators in type 2 diabetes,"Jingminjie Nan, Xianglong He, ..., Yanan Cao",13.0,Worth scanning,2,Liver metabolism / MASLD,core_disease_context,core_disease_context: diabetes,10.1038/s42255-025-01407-6,https://doi.org/10.1038/s42255-025-01407-6,,,,,
